,longitude
1143,78.3405519
1144,-80.18751347019423
1145,77.9793799
1146,78.4054408
1147,78.2873322
1148,-112.2819337
1149,77.0898276
1150,78.3010473
1151,78.3907531
1152,0.0
1153,78.3060359
1154,78.5424889
1155,78.3916289
1156,78.3961144
1157,78.3060359
1158,2.820229
1159,78.5368997
1160,78.0692712
1161,78.5510938
1162,78.3365214
1163,78.3817156
1164,78.3635484
1165,78.55810936158971
1166,78.3916289
1167,2.820229
1168,80.8334595
1169,78.3010473
1170,78.5788551
1171,78.5424889
1172,0.0
1173,78.3825785
1174,78.483456
1175,78.5368997
1176,78.49462050784989
1177,80.8334595
1178,78.3547825
1179,78.3405519
1180,78.3010473
1181,78.3817156
1182,80.2159247
1183,78.4331609
1184,78.3567628
1185,2.820229
1186,78.3322142
1187,78.3817156
1188,79.6808767
1189,78.4054408
1190,78.3365214
1191,78.2873322
1192,78.3907531
1193,78.3817156
1194,78.4399014
1195,78.3861689281263
1196,80.8334595
1197,78.3825785
1198,78.34067239565113
1199,78.5379433
1200,78.1978941
1201,2.820229
1202,0.0
1203,78.4054408
1204,78.3968876
1205,78.5088584
1206,78.3961341
1207,78.5154568
1208,78.49462050784989
1209,78.5601231
1210,78.4054408
1211,73.077714
1212,74.8415492
1213,78.4054408
1214,78.4054408
1215,78.3010473
1216,78.0692712
1217,78.3010473
1218,79.6808767
1219,78.2905401
1220,80.8334595
1221,78.7410344
1222,78.3405519
1223,78.5509653
1224,78.2905401
1225,78.5107535
1226,78.3635484
1227,78.3547825
1228,79.6808767
1229,78.3519638
1230,78.3519638
1231,78.4105031
1232,78.3907531
1233,78.4200077
1234,78.4054408
1235,0.0
1236,78.4054408
1237,78.3825785
1238,78.4054408
1239,78.5788551
1240,80.8334595
1241,78.4105031
1242,78.3961144
1243,78.5360054
1244,78.3861689281263
1245,2.820229
1246,0.0
1247,79.6808767
1248,79.6808767
1249,78.4054408
1250,79.7955465
1251,78.5510938
1252,78.3365214
1253,78.3961144
1254,78.5020964
1255,78.3861689281263
1256,78.3961144
1257,78.003997
1258,78.3961144
1259,78.4446705
1260,78.3405519
1261,-80.18751347019423
1262,-78.6604105
1263,78.3907531
1264,78.5107535
1265,78.3817156
1266,78.5362644
1267,75.7785503
1268,0.0
1269,78.3365214
1270,78.5020964
1271,78.34067239565113
1272,78.3635484
1273,2.820229
1274,78.5407976
1275,78.2905401
1276,78.4054408
1277,80.2159247
1278,78.4102882
1279,-78.6604105
1280,78.3817156
1281,78.4399014
1282,78.5117854
1283,78.3963343
1284,78.3817156
1285,78.5407976
1286,78.5705066
1287,2.820229
1288,78.3861689281263
1289,78.4054408
1290,78.5426918
1291,78.3567628
1292,79.6808767
1293,78.5117854
1294,80.8334595
1295,78.4200077
1296,78.4446705
1297,78.3405519
1298,78.3519638
1299,78.3916289
1300,78.3817156
1301,78.3861689281263
1302,78.3405519
1303,78.5510938
1304,78.4585197
1305,78.3961144
1306,0.0
1307,78.0692712
1308,78.4342514
1309,78.4054408
1310,77.6796806
1311,78.3567628
1312,78.4399014
1313,79.6808767
1314,78.3825785
1315,78.5154568
1316,78.3916289
1317,78.3405519
1318,78.4054408
1319,78.3010473
1320,78.3405519
1321,78.2905401
1322,78.4008412
1323,78.4399014
1324,78.3547825
1325,78.5020964
1326,78.3817156
1327,78.4054408
1328,78.3817156
1329,78.5107535
1330,78.5788551
1331,78.3825785
1332,78.3861689281263
1333,78.5107535
1334,78.342306
1335,2.820229
1336,79.6808767
1337,78.5510938
1338,78.5426918
1339,78.3519638
1340,79.7955465
1341,78.003997
1342,2.820229
1343,78.3365214
1344,80.8334595
1345,78.5368997
1346,0.0
1347,75.8346029
1348,0.0
1349,78.3817156
1350,78.3547825
1351,78.3519638
1352,78.3916289
1353,78.4200077
1354,0.0
1355,78.3916289
1356,78.4054408
1357,78.5827841
1358,78.3060359
1359,78.3060359
1360,78.4054408
1361,78.5788551
