,latitude
1558,17.6339929
1559,17.4511764
1560,17.4930841
1561,18.9898611
1562,17.4981608
1563,17.5200154
1564,17.4981608
1565,17.515397
1566,17.4692923
1567,17.50679
1568,17.515397
1569,17.4685307
1570,17.4981608
1571,16.449897
1572,17.515397
1573,14.02438
1574,17.4405369
1575,17.46565735
1576,22.1041221
1577,17.4930841
1578,17.4535469
1579,17.4436222
1580,0.0
1581,16.1952749
1582,17.4545079
1583,17.4308362
1584,17.451523
1585,17.39999505
1586,17.3775306
1587,17.50679
1588,17.4774828
1589,17.4930841
1590,17.50679
1591,17.4285479
1592,31.4197963
1593,17.4930841
1594,0.0
1595,17.3948624
1596,17.5284576
1597,17.515397
1598,17.4258278
1599,17.4825451
1600,17.4535469
1601,0.0
1602,17.6788421
1603,0.0
1604,17.4981608
1605,17.4255053
1606,17.5271759
1607,0.0
1608,17.4308362
1609,17.6788421
1610,17.5410548
1611,17.4872976
1612,17.3948624
1613,17.515397
1614,17.4535469
1615,17.4981608
1616,17.451523
1617,16.449897
1618,17.4917948
1619,0.0
1620,17.6788421
1621,17.515397
1622,17.4469418
1623,17.4408578
1624,16.449897
1625,18.0191012
1626,17.4436222
1627,17.3948624
1628,17.3942627
1629,17.4930841
1630,17.4774828
1631,17.6788421
1632,17.515397
1633,17.5271759
1634,17.39004015
1635,17.5022292
1636,17.6788421
1637,17.39999505
1638,17.6788421
1639,17.4930841
1640,0.0
1641,17.50679
1642,17.4930841
1643,16.449897
1644,17.4930841
1645,16.449897
1646,17.4930841
1647,17.451523
1648,17.3948624
1649,17.4930841
1650,17.4308362
1651,17.45121
1652,17.6788421
1653,17.6788421
1654,17.515397
1655,0.0
1656,17.4436222
1657,0.0
1658,17.6788421
1659,17.50679
1660,17.5284576
1661,17.4825451
1662,17.3948624
1663,17.6788421
1664,17.515397
1665,17.451523
1666,17.4177464
1667,16.449897
1668,17.4685307
1669,17.4774828
1670,0.0
1671,17.4436222
1672,17.4436222
1673,17.4177464
1674,17.451523
1675,17.6788421
1676,17.4930841
1677,15.9753367
1678,0.0
1679,17.50679
1680,0.0
1681,0.0
1682,18.0191012
1683,17.5410548
1684,0.0
1685,17.4930841
1686,17.374360600000003
1687,17.5030543
1688,18.0823869
1689,17.4436222
1690,17.6788421
1691,17.4505553
1692,17.4930841
1693,18.0018724
1694,17.4892154
1695,17.35891075
1696,17.5200154
1697,17.3775306
1698,17.515397
1699,0.0
1700,17.4408578
1701,17.4981608
1702,17.4177464
1703,17.4930841
1704,17.3698749
1705,17.6788421
1706,17.4308362
1707,18.0018724
1708,17.4258278
1709,16.449897
1710,17.3768805
1711,17.4892154
1712,17.50679
1713,17.4200755
1714,17.5284576
1715,17.4258278
1716,17.3501617
1717,17.35891075
